Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,1.8,Jul,0.958,0.343201861,1013.263735,20.59211169,7.7183,12.87381169
MRM,Ore,1.8,Aug,0.958,0.343201861,1013.263735,20.59211169,7.8197,12.77241169
MRM,Ore,1.8,Sep,0.958,0.343201861,1013.263735,20.59211169,7.734,12.85811169
MRM,Ore,1.8,Oct,0.987,0.343201861,1043.936646,20.59211169,7.185,13.40711169
MRM,Ore,1.8,Nov,1.027,0.343201861,1086.244108,20.59211169,7.2715,13.32061169
MRM,Ore,1.8,Dec,1.07,0.343201861,1131.724631,20.59211169,7.2057,13.38641169
MRM,Ore,1.9,Jan,1.07,0.349004096,1112.909576,20.94024573,7.9099,13.03034573
MRM,Ore,1.9,Feb,1.07,0.349004096,1112.909576,20.94024573,8.3314,12.60884573
MRM,Ore,1.9,Mar,1.027,0.349004096,1068.185173,20.94024573,7.9672,12.97304573
MRM,Ore,1.9,Apr,0.958,0.349004096,996.4181064,20.94024573,7.9729,12.96734573
MRM,Ore,1.9,May,0.958,0.349004096,996.4181064,20.94024573,7.5509,13.38934573
MRM,Ore,1.9,Jun,0.958,0.349004096,996.4181064,20.94024573,7.74,13.20024573
MRM,Ore,1.9,Jul,0.958,0.349004096,996.4181064,20.94024573,7.7183,13.22194573
MRM,Ore,1.9,Aug,0.958,0.349004096,996.4181064,20.94024573,7.8197,13.12054573
MRM,Ore,1.9,Sep,0.958,0.349004096,996.4181064,20.94024573,7.734,13.20624573
MRM,Ore,1.9,Oct,0.987,0.349004096,1026.581076,20.94024573,7.185,13.75524573
MRM,Ore,1.9,Nov,1.027,0.349004096,1068.185173,20.94024573,7.2715,13.66874573
MRM,Ore,1.9,Dec,1.07,0.349004096,1112.909576,20.94024573,7.2057,13.73454573
MRM,Ore,2,Jan,1.07,0.354665339,1095.145078,21.27992031,7.9099,13.37002031
MRM,Ore,2,Feb,1.07,0.354665339,1095.145078,21.27992031,8.3314,12.94852031
MRM,Ore,2,Mar,1.027,0.354665339,1051.134575,21.27992031,7.9672,13.31272031
MRM,Ore,2,Apr,0.958,0.354665339,980.5130702,21.27992031,7.9729,13.30702031
MRM,Ore,2,May,0.958,0.354665339,980.5130702,21.27992031,7.5509,13.72902031
MRM,Ore,2,Jun,0.958,0.354665339,980.5130702,21.27992031,7.74,13.53992031
MRM,Ore,2,Jul,0.958,0.354665339,980.5130702,21.27992031,7.7183,13.56162031
MRM,Ore,2,Aug,0.958,0.354665339,980.5130702,21.27992031,7.8197,13.46022031
MRM,Ore,2,Sep,0.958,0.354665339,980.5130702,21.27992031,7.734,13.54592031
